Mcule ID,SMILES,Similarity to hit - Tanimoto coefficient
MCULE-2439632125-0,C1(SC=C(C2C=CC(=C(OC)C=2)OC)N=1)NC1C=C(C)C=CN=1,0.727
MCULE-1593743933-0,C1(SC=C(C2=CC=CC=C2C)N=1)NC1=CC=C(C=N1)F,0.726
MCULE-3618243663-0,C1(SC=C(C2=CC=C(C(C)=C2)C)N=1)NC1=CC=C(C=N1)F,0.726
MCULE-1993599942-0,O=N(C1=CC(C2N=C(NC3=NC=CC=C3)SC=2)=CC=C1)=O,0.726
MCULE-3884976044-0,C1(SC=C(C2C=CC(=C(C)C=2)F)N=1)NC1=CC=CC=N1,0.724
MCULE-9733990683-0,C1(SC=C(C2C=CC(=CC=2)C)N=1)NC1=CC=C(C=N1)Br,0.724
MCULE-5282823104-0,Br.C1(SC=C(C2C=CC(=CC=2)OC)N=1)NC1C=CC=CN=1,0.724
MCULE-9750325102-0,N1=C(NC)SC=C1C1=CC=CC(=N1)C1=CSC(NC)=N1,0.724
MCULE-2800912521-0,C1(SC=C(C2C=CC(=CC=2)O)N=1)NC1=C(C=CC=N1)C,0.723
MCULE-9910194979-0,CC(C(NC1=CC=C(C2N=C(NC3=NC=CC=C3)SC=2)C=C1)=O)(C)C,0.723
MCULE-6314740645-0,C1(SC=C(C2C=CC(=CC=2)F)N=1)NC1=C(C=CC=N1)C,0.723
MCULE-1547398678-0,C1(SC=C(C2=CC=C(C)C=C2C)N=1)NC1C(=CC=CN=1)C,0.723
MCULE-9416960342-0,C1(SC=C(C2C=CC(=C(OC)C=2)OC)N=1)NC1C=C(C)C=CN=1.Br,0.723
MCULE-7661332877-0,C1(SC=C(C2=CC=CN=C2)N=1)NC1=CC=CC=N1,0.723
MCULE-4138043309-0,C1(SC=C(C2C=CC(=CC=2O)O)N=1)NC1=CC=CC(C)=N1,0.722
MCULE-5345267327-0,C1(SC=C(C2=CC=C(C)C(C)=C2)N=1)NC1C=CC(=CN=1)Cl,0.722
MCULE-3433062911-0,C1(SC=C(C2C=CC=C(C=2)N(=O)=O)N=1)NC1=CC=CC=N1.Br[H],0.722
MCULE-4542844433-0,C1(SC=C(C2C=CC(=CC=2)C2CCCCC2)N=1)NC1C=CC=CN=1,0.722
MCULE-1821720398-0,N1C(C2=CC=CC=N2)=CSC=1NC1C=CC(=C(O)C=1)C(O)=O,0.721
MCULE-3582720210-0,N1C(=CSC=1NC1C=C(C)C=CN=1)C1=CC=CS1,0.721
MCULE-6645269356-0,C1(SC=C(C2C=CC(=CC=2)OCC)N=1)NC1=CC=CC=N1,0.720
MCULE-5123399108-0,C1(SC=C(C2C=CC(=CC=2)O)N=1)NC1=CC=C(C=N1)Cl,0.717
MCULE-5211891145-0,C1(SC=C(C2=CC=CC(Cl)=C2)N=1)NC1C=CC(=CN=1)Cl,0.717
MCULE-6373071776-0,CC(NCC1=CC=C(C2N=C(NC3=NC=CC=C3)SC=2)C=C1)=O,0.717
MCULE-2720002310-0,Br.N1C(=CSC=1NC1C=C(C)C=CN=1)C1=CC=CS1,0.717
MCULE-4010008230-0,C1(NC2C=CC=C(C)N=2)SC(=C(C2C=CC(=CC=2)Cl)N=1)C,0.717
MCULE-5336120192-0,C1(SC=C(C2=CC=CC(Cl)=C2)N=1)NC1C(=CC=CN=1)C,0.716
MCULE-7898452510-0,N1C(=CSC=1NC1=CC=CC=N1)C1C=CC(=CC=1F)F,0.715
MCULE-1287191041-0,COC1=CC(C2N=C(NC3=NC=CC=C3)SC=2)=CC=C1,0.715
